Analysis No.,Ampl. 44,Ampl. 45,Ampl. 46,ID 1,ID 2,preparation,sample assignment,final time date,error  *,offset corr sample,ppm,dilution ,diff.abs.,ppm Manuel,Nr. Manuel,Kostenstelle Manuel,,
142109,1059,1256,1488,9,100,GIL2.1,Sample,22/1/19 17:05,,-25.65,3805,2.06,0.04,5698,9,PS EBIO COOG,,
142110,1097,1301,1539,10,100,GIL3.2,Sample,22/1/19 17:10,,-25.36,4192,2.06,,6009,10,PS EBIO COOG,,
142111,1051,1246,1473,10,100,GIL3.2,Sample,22/1/19 17:15,,-25.36,4132,2.06,0.01,6009,10,PS EBIO COOG,,
142113,922,1091,1292,11,50,LMF1.4,Sample,22/1/19 17:26,,-26.59,6872,4.36,,10293,11,PS EBIO COOG,,
142114,887,1050,1244,11,50,LMF1.4,Sample,22/1/19 17:31,,-26.54,6929,4.36,0.06,10293,11,PS EBIO COOG,,
142115,1080,1278,1512,12,100,LMF2.5,Sample,22/1/19 17:36,,-25.74,5013,2.06,,7546,12,PS EBIO COOG,,
142116,1028,1217,1439,12,100,LMF2.5,Sample,22/1/19 17:42,,-25.82,4943,2.06,0.07,7546,12,PS EBIO COOG,,
142119,615,725,858,13,100,LMF3.5,Sample,22/1/19 17:59,,-26.26,3419,2.06,,5158,13,PS EBIO COOG,,
142120,587,692,819,13,100,LMF3.5,Sample,22/1/19 18:04,,-26.38,3452,2.06,0.13,5158,13,PS EBIO COOG,,
142121,503,584,681,14,200,Blank_3015,Sample,22/1/19 18:09,,-38.98,1996,1,,3015,14,PS EBIO COOG,,
142122,471,546,637,14,200,Blank_3015,Sample,22/1/19 18:15,,-38.84,1978,1,0.14,3015,14,PS EBIO COOG,,
142124,678,797,948,15,100,GW P2 0-10cm Priming 10122018,Sample,22/1/19 18:25,,-25.16,4649,2.06,,8430,1,K015,,
142125,646,759,903,15,100,GW P2 0-10cm Priming 10122018,Sample,22/1/19 18:30,,-25.43,4668,2.06,0.26,8430,1,K015,,
142126,505,594,706,16,50,GW P3 0-10cm Stechzylinder 10122018,Sample,22/1/19 18:35,,-25.70,8022,4.36,,12553,2,K015,,
142127,487,571,679,16,50,GW P3 0-10cm Stechzylinder 10122018,Sample,22/1/19 18:41,,-25.97,8226,4.36,0.27,12553,2,K015,,
142130,502,587,698,17,50,L?ss P2 0-10cm Stechzylinder 10122018,Sample,22/1/19 18:58,,-27.78,9623,4.36,,15352,3,K015,,
142131,480,561,668,17,50,L?ss P2 0-10cm Stechzylinder 10122018,Sample,22/1/19 19:03,,-27.64,9823,4.36,0.14,15352,3,K015,,
142132,503,587,701,18,50,L?ss P3 0-10cm Stechzylinder 10122018,Sample,22/1/19 19:08,,-26.27,10391,4.36,,15096,4,K015,,
142133,483,565,674,18,50,L?ss P3 0-10cm Stechzylinder 10122018,Sample,22/1/19 19:13,,-26.45,10594,4.36,0.17,15096,4,K015,,
142135,287,335,399,19,50,BS P1 0-10cm Priming 21012018,Sample,22/1/19 19:24,Amplitude low,-26.15,9537,4.36,,10644,5,K015,,
142136,277,322,385,19,50,BS P1 0-10cm Priming 21012018,Sample,22/1/19 19:29,Amplitude low,-26.59,9829,4.36,0.44,10644,5,K015,,
142137,308,358,427,20,50,GW P3 0-10cm Normal 21012018,Sample,22/1/19 19:34,,-25.94,10501,4.36,,11671,6,K015,,
142138,298,346,413,20,50,GW P3 0-10cm Normal 21012018,Sample,22/1/19 19:40,Amplitude low,-25.58,10790,4.36,0.36,11671,6,K015,,
142141,224,259,310,21,50,BS P3 0-10cm Normal 21012018,Sample,22/1/19 19:57,Amplitude low,-26.65,11338,4.36,,10586,7,K015,,
142142,219,254,303,21,50,BS P3 0-10cm Normal 21012018,Sample,22/1/19 20:02,Amplitude low,-26.29,11673,4.36,0.36,10586,7,K015,,
142143,275,318,380,22,100,GW P1  120cm+ Stechzylinder 21012018,Sample,22/1/19 20:07,Amplitude low,-26.37,6124,2.06,,7628,8,K015,,
142144,264,306,365,22,100,GW P1  120cm+ Stechzylinder 21012018,Sample,22/1/19 20:13,Amplitude low,-25.77,6252,2.06,0.61,7628,8,K015,,
142146,241,279,333,23,100,GW P2 30-50cm Stechzylinder 21012018,Sample,22/1/19 20:23,Amplitude low,-26.35,6502,2.06,,7055,9,K015,,
142147,233,269,322,23,100,GW P2 30-50cm Stechzylinder 21012018,Sample,22/1/19 20:28,Amplitude low,-26.41,6644,2.06,0.06,7055,9,K015,,
142148,,,,24,,,,,no peak,,,,,0,10,K015,,
142149,,,,24,,,,,no peak,,,,,0,10,K015,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
