Analysis No.,Ampl. 44,Ampl. 45,Ampl. 46,ID 1,ID 2,preparation,ID,sample assignment,final time date,error  *,offset corr sample,avg_13c,ppm,dilution ,diff.abs.,,,,,
142033,2524,3014,3572,7,100,HEW22-2-1_14122018,HEW22-2-1,Sample,16/1/19 13:13,,-24.74,,7026,2.06,0.01,,,,,
142034,2017,2406,2856,8,50,HEW22-2-2_14122018,HEW22-2-2,Sample,16/1/19 13:18,,-26.09,-26.05,10267,4.36,,,,,,
142035,2005,2393,2839,8,50,HEW22-2-2_14122018,HEW22-2-2,Sample,16/1/19 13:23,,-26.01,,10234,4.36,0.08,,,,,
142038,1615,1901,2224,9,200,Blank_3015,Blank_301,Sample,16/1/19 13:40,,-38.31,-38.26,2960,1,,,,,,
142039,1604,1887,2207,9,200,Blank_3015,Blank_301,Sample,16/1/19 13:46,,-38.22,,2926,1,0.09,,,,,
142040,46,55,65,10,200,synt.Luft,synt.Luft,Sample,16/1/19 13:51,Amplitude low,-22.87,-23.64,76,1,,,,,,
142041,47,56,67,10,200,synt.Luft,synt.Luft,Sample,16/1/19 13:56,Amplitude low,-24.42,,81,1,1.55,,,,,
142043,2327,2777,3292,11,100,HEW41-2-1_12122018,HEW41-2-1,Sample,16/1/19 14:07,,-24.65,-24.66,6456,2.06,,,,,,
142044,2320,2770,3282,11,100,HEW41-2-1_12122018,HEW41-2-1,Sample,16/1/19 14:12,,-24.68,,6447,2.06,0.03,,,,,
142045,3273,3904,4628,12,100,HEW41-2-2_12122018,HEW41-2-2,Sample,16/1/19 14:17,,-25.98,-25.96,9091,2.06,,,,,,
142046,3253,3878,4601,12,100,HEW41-2-2_12122018,HEW41-2-2,Sample,16/1/19 14:23,,-25.93,,9055,2.06,0.05,,,,,
142049,2369,2831,3351,13,100,HEW42-2-1_14122018,HEW42-2-1,Sample,16/1/19 14:40,,-24.50,-24.54,6607,2.06,,,,,,
142050,2364,2822,3343,13,100,HEW42-2-1_14122018,HEW42-2-1,Sample,16/1/19 14:45,,-24.58,,6592,2.06,0.08,,,,,
142051,2241,2676,3170,14,100,HEW42-2-2_14122018,HEW42-2-2,Sample,16/1/19 14:50,,-24.31,-24.27,6256,2.06,,,,,,
142052,2243,2679,3173,14,100,HEW42-2-2_14122018,HEW42-2-2,Sample,16/1/19 14:55,,-24.23,,6271,2.06,0.07,,,,,
142054,2152,2562,3045,15,100,SEG38-2-1_14122018,SEG38-2-1,Sample,16/1/19 15:06,,-27.60,-27.62,5995,2.06,,,,,,
142055,2144,2555,3033,15,100,SEG38-2-1_14122018,SEG38-2-1,Sample,16/1/19 15:11,,-27.63,,6035,2.06,0.02,,,,,
142056,2479,2949,3506,16,100,SEG38-2-2_14122018,SEG38-2-2,Sample,16/1/19 15:16,,-28.08,-28.04,6953,2.06,,,,,,
142057,2474,2947,3500,16,100,SEG38-2-2_14122018,SEG38-2-2,Sample,16/1/19 15:22,,-28.00,,6941,2.06,0.08,,,,,
142060,2656,3162,3757,17,100,SEG40-2-1_14122018,SEG40-2-1,Sample,16/1/19 15:39,,-27.69,-27.69,7390,2.06,,,,,,
142061,2650,3153,3747,17,100,SEG40-2-1_14122018,SEG40-2-1,Sample,16/1/19 15:44,,-27.69,,7371,2.06,0.00,,,,,
142062,2395,2851,3389,18,100,SEG40-2-2_14122018,SEG40-2-2,Sample,16/1/19 15:49,,-27.33,-27.35,6672,2.06,,,,,,
142063,2390,2844,3380,18,100,SEG40-2-2_14122018,SEG40-2-2,Sample,16/1/19 15:55,,-27.36,,6659,2.06,0.04,,,,,
142065,2821,3364,3991,19,100,SEG46-2-1_14122018,SEG46-2-1,Sample,16/1/19 16:05,,-26.68,-26.67,7959,2.06,,,,,,
142066,2815,3355,3983,19,100,SEG46-2-1_14122018,SEG46-2-1,Sample,16/1/19 16:10,,-26.66,,7923,2.06,0.02,,,,,
142067,2613,3112,3696,20,100,SEG46-2-2_14122018,SEG46-2-2,Sample,16/1/19 16:16,,-26.45,-26.42,7372,2.06,,,,,,
142068,2607,3106,3689,20,100,SEG46-2-2_14122018,SEG46-2-2,Sample,16/1/19 16:21,,-26.40,,7355,2.06,0.05,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
